designer_id,name,name_jp
9,Alan R. Moon,
11781,Steffen Benndorf,
3302,Gord!,
6076,Christian Fiore,
85851,Connor Reid,
92417,Tsuyoshi Hashiguchi (はしぐち つよし),
7,Wolfgang Kramer,
9714,Antoine Bauza,
83925,Emma Larkins,
69007,Matthew Dunstan,
461,Michael Palm,
88122,Kevin Riley,
2,Reiner Knizia,
10,Uwe Rosenberg,
60,Dirk Henn,
12362,Meelis Looveer,
40734,Peke (ぺけ),
158,Reiner Stockhausen,
14,Richard Garfield,
5178,Klaus Miltenberger,
101258,Satochika Daimon (大門 聖史),
7034,Matthew Kirby,
1533,Eric M. Lang,
138517,Mathias Wigge,
37602,Yves Tourigny,
91,Christwart Conrad,
46810,Nuno Bizarro Sentieiro,
98049,Suwo (スヲ),
173,Günter Burkhardt,
42,Michael Kiesling,
3,(Uncredited),
9657,Martin Nedergaard Andersen,
8045,Josep M. Allué,
8347,Phil Walker-Harding,
50969,Marc André,
2432,Francesco Rotta,
115857,Kazunari Yonemitsu,
65581,Matthew O'Malley,
61,James Ernest,
5681,Holger Bösch,
3327,Laurent Escoffier,
52974,Florian Racky,
1001,Bernard Tavitian,
83870,Nicolas Robert,
25,Richard Borg,
100130,Kazuna*,
39436,Hisashi Hayashi,
4958,Stefan Feld,
132,Günter Cornett,
80162,Wolfgang Warsch,
80659,Matthew Moore,
8397,Andreas Pelikan,
115303,Joshua Van Laningham,
154,Rudi Hoffmann,
117880,Kevin Russ,
10067,Steffen Bogen,
4,Sid Sackson,
34672,Charles Chevallier,
398,Klaus-Jürgen Wrede,
2617,Frédéric Henry,
76674,Malte Kühle,
109218,Jordy Adan,
139583,Nakamori Gen (中森 源),
8236,Brad Ross,
11,Klaus Teuber,
61330,Emerson Matsuuchi,
51522,Emely Brand,
64560,Jose Antonio Abascal Acebo,
24,Alex Randolph,
125,Bruno Faidutti,
69679,Juma Al-JouJou,
57005,Patrick Otley,
112965,Nagisa Kujira,
144,Jacques Zeimet,
789,Vlaada Chvátil,
86,Michael Schacht,
86320,ふじわら先生 (Fujiwara Teacher),
256,Heinz Meister,
65537,Gaëtan Beaujannot,
141,Friedemann Friese,
64108,Rikki Tahta,
190,Spartaco Albertarelli,
70420,Alex Putfin,
45563,Thomas Sing,
81131,Roy Nambu,
74346,Johannes Berger,
1210,Haim Shafir,
59211,Hiroaki Suzuki,
909,Margaret Weis,
110383,F.EPHRAIM,
106150,Katja Stremmel,
82239,Thomas Dagenais-Lespérance,
50009,Jun Sasaki,
79777,Sébastien Decad,
97562,Shogo Kuroda,
49695,Oleksandr Nevskiy,
1532,Régis Bonnessée,
1727,Bruno Cathala,
1206,Christophe Boelinger,
57468,Frank Bebenroth,
11547,Jean-Louis Roubira,
10525,Donald X. Vaccarino,
7988,Yoshihisa Itsubaki,
75830,KTR,
285,Roberto Fraga,
50351,Alexandre Droit,
37300,Rustan Håkansson,
228,Jakob Bonds,
6740,William Jacobson,
69642,Jun'ichi Sato,
11854,Ryan Laukat,
46480,Kristin Mückel,
4819,Richard Launius,
6940,Inka Brand,
120076,Ichiro Sengoku (千石 一郎),
3526,Carl de Visser,
13,Stefan Dorra,
109616,Jakub Caban,
483,Edith Grein-Böttcher,
6941,Markus Brand,
71478,Matthew Inman,
85906,Fukutarou,
3440,Bruce Glassco,
27942,Jean-Marie Albert,
97563,Gernot Köpke,
131234,WY Games,
91325,Antonin Boccara,
615,Mike Elliott,
111250,Damir Khusnatdinov,
122,Andrew Looney,
2212,Kevin G. Nunn,
81604,Tanagokoro,
4063,Kristian Amundsen Østby,
120699,Foxtrot Games,
129,Bernhard Weber,
74,Doris Matthäus,
74167,Jun-ichi Shinde,
77702,Koota Yamada,
4300,Jens Drögemüller,
112767,326,
4923,Christoph Cantzler,
8276,Dave Chalker,
1496,Brian Yu,
121070,Salim Larochelle,
54105,Jakob Andrusch,
5762,Taiju Sawada,
381,Rüdiger Dorn,
942,Thierry Denoual,
28879,Seiemon Nunoura,
6817,Virginio Gigli,
81496,Julian Allain,
11767,Alexander Pfister,
116025,Martijn Haddering,
79429,Pesu Nabeno,
6063,Toshiki Sato,
68073,Ken Gruhl,
166,David Parlett,
80476,Florian Nadler,
91811,Kyo Tumuki (ツムキキョウ),
90410,Trevor Benjamin,
4733,Knut Strømfors,
2686,Brigitte Pokornik,
52184,Yoshida Masanori,
4504,Kevin Jacklin,
3990,Wolfgang Dirscherl,
92268,シキリト (Shikirito),
66638,Brian Gomez,
81174,藤田 真吾 (Shingo Fujita),
20990,Jay Cormier,
93960,Kwaji,
102859,Daipo,
66017,Frédéric Guérard,
6736,Sébastien Pauchon,
96371,Chikasuzu (ちかすず),
113011,Toru Oyama,
8935,Jeffrey D. Allers,
1151,Leslie Scott,
109211,Eric Flumian,
10892,Steve Velte,
60694,Christian Stöhr,
213,Thomas Vuarchex,
51255,Ludovic Roudy,
98735,William Julius Champion Jr.,
93356,Katsuya Kitano (北野克哉),
4103,André Perriolat,
97752,久遠 (Kuon),
7448,Sebastian Bleasdale,
5245,Daniel Solis,
112135,Rita Modl,
76279,Stéphane Maurel,
301,Torsten Marold,
99094,Yusuke Emi (江見祐介),
77890,Mikkel Bertelsen,
4884,Marco Teubner,
121043,Anthony Perone,
42079,Mitsuo Yamamoto,
7101,Rüdiger Koltze,
77946,Stefan Kloß,
217,Max J. Kobbert,
85285,Tim Rogasch,
76281,Lee Ju-Hwa,
8103,Christian Lemay,
11825,Michael Menzel,
26621,Madoka Kitao,
27783,Michael Michaels,
75617,Shun Taguchi,
83763,Masaru Aoki,
15913,Peter Lee,
6818,Flaminia Brasini,
127823,Elwen,
9495,Seiji Kanai,
68814,Masao Suganuma,
12367,Dirk Baumann,
95143,Kasper Lapp,
3342,Jack Lawson,
41738,team SAIEN,
79,Dominique Ehrhard,
83603,Takashi Hamada,
81944,Kentaro Yazawa (矢沢 賢太郎),
124887,Gérald Cattiaux,
101836,Carlo Bortolini,
27641,Oliver Richtberg,
70631,Johannes Sich,
58853,Justin Blaske,
179,Virginia Charves,
4565,Ginichiro Suzuki,
115345,Franz Couderc,
59220,Brent Povis,
442,Rob Daviau,
64163,Iris Rossbach,
103134,Jordan Sorenson,
72830,宮野 華也 (Kaya Miyano),
98921,西村裕 (Hiroshi Nishimura),
6045,Mac Gerdts,
35418,Simone Luciani,
4155,Thomas Liesching,
132973,Junichi Nagao,
73176,Frédéric Morard,
78073,Jean-Claude Pellin,
405,Peter Wichmann,
85,Thorsten Gimmler,
88930,Noriaki Watanabe,
524,Richard Lambert,
69462,Akihisa Okui,
37729,Shadi Torbey,
120154,Adrien Hesling,
61569,Adam Kwapiński,
8901,John W. Mollett,
142,Michael Rieneck,
378,Matt Leacock,
12196,Naoki Homma,
97023,Henri Pym,
537,Ken Johnson,
8537,Torsten Landsvogt,
40887,Ayelet Pnueli,
2118,Stephen Glenn,
102921,Michal Mikeš,
117,Andreas Seyfarth,
9307,Vladimír Suchý,
42428,Stephen Sauer,
84477,Adrian Abela,
748,Markus Nikisch,
590,David G. Royffe,
71676,Ian Brody,
921,Blaise Muller,
1321,Thierry Chapeau,
4700,Susumu Kawasaki,
281,Mirko Marchesi,
7708,Susan McKinley Ross,
150,Thomas Lehmann,
120229,Huma Mihara,
3508,Cliff Bohm,
6001,Carl Chudyk,
11906,Don Eskridge,
44378,Scott Frisco,
89332,Kengo Ōtsuka (大塚健吾),
12,Reinhard Staupe,
62238,Keith Matejka,
61329,François Rouzé,
1272,Erno Rubik,
634,Ephraim Hertzano,
2748,Helmut Ohley,
1379,Fréderic Moyersoen,
1581,Emiliano Sciarra,
9637,Eilif Svensson,
86316,粒幸久 (Yukihisa Tsubu),
81850,ゆお (Yuo),
4308,Bernhard Lach,
304,Projekt Team III,
116503,Kei Kajino (梶野 桂),
143,Alfred Mosher Butts,
62640,Jamey Stegmaier,
620,Marsha J. Falco,
5586,Yasutaka Ikeda,
80520,Asger Harding Granerud,
68618,Yuichi Sakashita,
71539,Pawn,
94387,Lucy Keifer,
108743,Martí Lucas Feliu,
69099,Francisco Gallego Arredondo,
85786,Eugeni Castaño,
82544,佐藤 雄介 (Yusuke Sato),
84393,酢豚 (Subuta),
1318,Hervé Marly,
58896,Brent Beck,
133522,François Romain,
1353,Thomas Pauli,
57723,John D. Clair,
102038,Erwan Morin,
111439,Győri Zoltán Gábor,
309,Andy Daniel,
16615,R. Eric Reuss,
79463,Marie Fort,
3882,Michelle Schanen,
34825,Denis Blanchot,
78199,Alexandr Ushan,
9172,山田 大夏 (Hironatsu Yamada),
96212,Forrest-Pruzan Creative,
928,Bernd Brunnhofer,
59825,Dieter Nüßle,
68570,Manu Palau,
120989,Yuto Fujikawa,
35891,Koji Malta,
87947,Peggy Chassenet,
69927,Manuel Rozoy,
2624,Nicolas Normandon,
9199,Justin Oh,
57305,Andreas Steiger,
67874,Cédrick Chaboussit,
63207,Johannes Schmidauer-König,
92270,Alex Cutler,
59986,Daniele Tascini,
52075,Jacob Fryxelius,
63174,Mark Major,
4299,Peter Prinz,
172,Urs Hostettler,
109257,Hashimoto Atsushi (橋本淳志),
98035,Alena Lebedeva,
94425,Kenji Mishima,
97158,Naotaka Shimamoto,
110734,Taisei Kato,
71866,Nobutake Dogen,
57,Franz-Benno Delonge,
105817,Takashi Saito,
102390,Nathalie Saunier,
7133,Chuck Foley,
988,Grzegorz Rejchtman,
4009,Cyril Demaegd,
73455,Alice Carroll,
10394,Thomas Cauët,
64103,Arnaud Ladagnous,
130661,Aristide Bruyant,
1046,Merle Robbins,
7640,Paolo Mori,
138,Leo Colovini,
1056,Bill Payne,
7011,Chris Cieslik,
94040,Benoit Turpin,
92214,Kazutaka Yanagawa (柳川 一隆),
106170,Jonathan Favre-Godal,
95616,Hiroshi Kawamura (川村 有),
111338,Elizabeth Hargrave,
4618,Toshio Kobayashi,
63768,Edwin S. Lowe,
453,Sean McGuire,
35037,Muneyuki Yokouchi (横内宗幸),
80676,テイダ リョウ (Ryo Teida),
117409,Ching Chun Hung,
127493,Tadashi Itani (井谷大志),
132171,Shoto Inomoto,
89395,Jyujin Ohtsbo (おーつぼじゅうじん),
94378,Ryo Sasaki (佐々木亮),
105632,Tyapi (ちゃぴ),
100655,Yoshihiko Koriyama (郡山喜彦),
92891,Tamatama (たま々),
79554,Ryo Fukushima,
131448,Hiro (H1R0),
126377,Kenta Murayama (ムラヤマ　ケンタ),
78720,かぶきけんいち (Kenichi Kabuki),
144326,274,
111890,Sumisu (すみす),
114483,Yu Miyazaki (ミヤザキユウ),
117909,張恆 (Zhang Heng),
136724,Purin (ぷりん),
120135,Ogawa Masahiro (小川 昌洋),
137201,Show (翔),
123335,Makoto Akiyama (秋山真琴),
114331,反社会人サークル (Anti-Civic Circle),
104566,ナラセン (Narasen),
11094,Toryo Hojo,
112126,Okabenius,
103167,MYA,
235,Aaron Weissblum,
5930,Knut Happel,
7808,Lukas Zach,
62803,Lukas Litzsinger,
294,Mark Alan Osterhaus,
2336,Kevin Wilson,
46809,Paulo Soledade,
60749,Ben Rosset,
234,Jon Wilkie,
112348,Elisabeth Burkhardt,
131850,Hayashi Shiina (椎名隼也),
9416,Don Ullman,
106729,Alex Wilber,
51523,Lukas Brand,
68016,Scot Eaton,
8132,Alain Rivollet,
74345,Julien Gupta,
3569,Eiji Wakasugi,
94723,Goro Sasaki,
4337,Ludovic Maublanc,
60151,Corentin Lebrat,
90882,Julien Prothière,
76303,Masato Uesugi,
94386,Eli Håkansson,
1958,Gustav Bonds,
6741,Amanda Kohout,
9733,Jarratt Gray,
10614,Manfred Reindl,
109603,Bartosz Idzikowski,
106158,Matt Dembek,
80158,Elan Lee,
164,Kristin Looney,
75,Frank Nestel,
4407,Helge Ostertag,
3524,Anja Wrede,
7282,Chislaine van den Bulk,
108457,Airu Sato,
68072,Quentin Weir,
91810,Melon Uminekozawa (海猫沢めろん),
2815,Alvydas Jakeliunas,
56058,Brett J. Gilbert,
88061,Shotaro Nakashima,
29176,Graeme Jahns,
93959,Daichi Okano,
212,Pierrick Yakovenko,
51055,Bruno Sautter,
93367,Ota Bros. (大田兄弟),
134,Richard Breese,
63646,Dennis Kirps,
84381,Anna Oppolzer,
73721,Giung Kim,
75618,Aya Taguchi,
137,Carol Wiseley,
13261,Rodney Thompson,
127822,Mín,
3343,Andrew Lawson,
89427,Kenji Shimojima,
180,Bertram Kaes,
52377,Nestore Mangone,
132971,Nanana Kudo,
525,Andrew Rilstone,
120155,Axel Hesling,
8900,Lewis Waterman,
82,Paul Peterson,
107021,Sylas,
88108,Jan Soukal,
73154,David Chircop,
3509,Geoff Bottone,
3911,Steven Strumpf,
33531,Marvin A. Silbermintz,
1828,"Leonhard ""Lonny"" Orgler",
4307,Uwe Rapp,
80521,Daniel Skjold Pedersen,
10706,Jim Keifer,
108574,Josep Izquierdo Sánchez,
112826,Alberto Millán,
118284,Jeffrey Beck,
79462,Wilfried Fort,
59,Marcel-André Casasola Merkle,
117414,Jacques Cottereau,
84291,Takahiro Shinozaki (篠崎　高広),
69233,Matt Fantastic,
97159,Yoshiaki Tomioka,
71746,Nao Shimamura,
102391,Rémi Saunier,
10383,Reyn Guyer,
88842,Guilaine Didier,
56816,Fabrice Mazza,
110164,Lewis Cheshire,
62641,Alan Stone,
11493,Thomas McGuire,
80054,yio,
127494,Tomoyuki Saito (斉藤トモユキ),
94634,藤浪智之　(Fujinami Tomoyuki),
144325,RYO,
111891,yan3 (やんさん),
94584,Afong Lee,
137203,Taka-mii (たかみぃ),
106149,Jack Ullman,
183,Dan Glimne,
50774,Ralph Querfurth,
5874,Shane Small,
88375,大木基至 (Motoyuki Ohki),
93961,Kito Shinma,
74504,Hiroki Kasawa,
132972,Ryoki Kudo,
3318,James Wallis,
1575,Heinrich Glumpler,
111991,Adam Spanel,
3510,Colleen Skadl,
126053,Jesús Otero,
1106,Andrea Meyer,
35650,Guillaume Gille-Naves,
298,Jim Winslow,
50931,Neil W. Rabens,
88841,Gabriel Durnerin,
130658,Mathieu Casnin,
110165,Arch Stanton,
10393,Guillaume Montiage,
144327,TAN,
137202,Taku (たく),
72628,Théo Rivière,
88376,Hiromi Oikawa,
93958,ｱｷﾋﾛｲﾄｵ (Akihiro Itoh),
123242,Dani Seguí,
1279,Igor Polouchine,
130662,Luna Marie,
108002,Dave Neale,
101462,Billy Stevenson,
130660,Yohan Servais,
6625,Macoto Nakamura,
118804,Vincent Goyat,
40274,Yoshito Terashima,